system:index,date,sm_0_28_mean,.geo
73,2021-02,0.1083984502464488,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2021-03,0.0763103054378464,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2021-04,0.06299573731188562,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2021-05,0.059042978474071195,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2021-06,0.05512103876479991,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2021-07,0.051417218917186466,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2021-08,0.04879877378063008,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2021-09,0.0473901175939373,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2021-10,0.04752612163493716,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2021-11,0.0576984310863787,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2021-12,0.062031512818703574,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2022-01,0.10580161521241434,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2022-02,0.09629490416975613,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2022-03,0.07378154425596734,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2022-04,0.059789402434719315,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2022-05,0.05619141359491728,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2022-06,0.05156147020511221,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2022-07,0.04883954865266702,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2022-08,0.046197554275134264,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2022-09,0.0435805681749638,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2022-10,0.047922894981219974,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2022-11,0.05733950113366438,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2022-12,0.06347733281062638,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2023-01,0.09120338569058262,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2023-02,0.10013481029696969,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2023-03,0.0824519680692041,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2023-04,0.06995285433882603,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2023-05,0.06156730242046275,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2023-06,0.057584722751357655,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2023-07,0.05061201902954941,"{""type"":""MultiPoint"",""coordinates"":[]}"
